audio,text
F0000000000_0006.wav,เพลง นี้ ชื่อ อะไร
F0000000000_0007.wav,เพลง นี้ ยาว กี่ นาที
F0000000000_0008.wav,เพลง นี้ ใคร ร้อง
F0000000000_0009.wav,เพลง ต่อ ไป เพลง อะไร
F0000000000_0010.wav,เพลง ต่อ ไป ยาว เท่า ไหร่
F0000000000_0012.wav,หยุด เพลง
F0000000000_0013.wav,เล่น เพลง
F0000000000_0014.wav,เพลง ต่อ ไป
F0000000000_0015.wav,ข้าม
F0000000000_0016.wav,เปลี่ยน
F0000000000_0017.wav,สุ่ม เพลง
F0000000000_0019.wav,เล่น ซ้ำ
F0000000000_0021.wav,ดัง ดัง หน่อย
F0000000000_0022.wav,ลด เสียง
F0000000000_0023.wav,เล่น เพลง ที่ แล้ว
F0000000000_0024.wav,เล่น เพลง ก่อน หน้า
F0000000000_0025.wav,เล่น เพลง นี้ อีก รอบ
F0000000000_0026.wav,เริ่ม เพลง นี้ ใหม่
F0000000000_0027.wav,เล่น เพลง นี้ ซ้ำ
F0000000000_0028.wav,เพลง นี้ ใคร แต่ง
F0000000000_0029.wav,นักร้อง คนนี้ ชื่อ อะไร
F0000000000_0033.wav,ดัง อีก
F0000000000_0034.wav,เพิ่ม อีก
F0000000000_0035.wav,อีก
F0000000000_0036.wav,ลด อีก
F0000000000_0037.wav,เบา เบา หน่อย
F0000000000_0038.wav,เบา อีก
F0000000000_0039.wav,เบา เสียง
F0000000000_0040.wav,เงียบๆ
F0000000000_0041.wav,หยุด
F0000000000_0042.wav,หยุด ก่อน
F0000000000_0043.wav,หยุด ชั่ว คราว
F0000000000_0049.wav,ปิด เสียง
F0000000000_0050.wav,เงียบ
F0000000000_0052.wav,เปิด เพลง ใกล้
F0000000000_0054.wav,เปิด เพลง ชะตา ชีวิต
F0000000000_0057.wav,ขอ เพลง คู่ กัน
F0000000000_0058.wav,ขอ เพลง ฝน
F0000000000_0059.wav,ขอ เพลง ไกล
F0000000000_0067.wav,เล่น เพลง ของ ศิลปิน แสตมป์
F0000000000_0074.wav,เล่น เพลง อะไร ก็ ได้ สิบ นาที
F0000000000_0075.wav,เล่น เพลง อะไร ก็ ได้ ยี่สิบ นาที
F0000000000_0076.wav,เล่น เพลง ครึ่ง ชั่วโมง
F0000000000_0078.wav,เบา เสียง หน่อย
F0000000000_0080.wav,ลา ก่อย
F0000000000_0084.wav,ไม่ เอา เพลง นี้
F0000000000_0085.wav,ไม่ ชอบ เพลง นี้
F0000000000_0086.wav,ห้าม เล่น เพลง นี้
F0000000000_0088.wav,ข้าม เพลง นี้
F0000000000_0089.wav,ข้าม ไป
F0000000000_0090.wav,เพลง อื่น
F0000000000_0091.wav,พอ แล้ว
F0000000000_0092.wav,เลิก เล่น
F0000000000_0094.wav,ขอ เนื้อ เพลง นี้ หน่อย
F0000000000_0095.wav,เปิด เนื้อ เพลง
F0000000000_0096.wav,ดู เนื้อ เพลง หน่อย
F0000000000_0097.wav,เอา เพลง นี้ ออก ไป
F0000000000_0098.wav,ลบ เพลง นี้ ออก ไป จาก เครื่อง
F0000000001_0006.wav,เพลง นี้ ชื่อ อะไร
F0000000001_0007.wav,เพลง นี้ ยาว กี่ นาที
F0000000001_0008.wav,เพลง นี้ ใคร ร้อง
F0000000001_0009.wav,เพลง ต่อ ไป เพลง อะไร
F0000000001_0010.wav,เพลง ต่อ ไป ยาว เท่า ไหร่
F0000000001_0012.wav,หยุด เพลง
F0000000001_0013.wav,เล่น เพลง
F0000000001_0014.wav,เพลง ต่อ ไป
F0000000001_0015.wav,ข้าม
F0000000001_0016.wav,เปลี่ยน
F0000000001_0017.wav,สุ่ม เพลง
F0000000001_0019.wav,เล่น ซ้ำ
F0000000001_0021.wav,ดัง ดัง หน่อย
F0000000001_0022.wav,ลด เสียง
F0000000001_0023.wav,เล่น เพลง ที่ แล้ว
F0000000001_0024.wav,เล่น เพลง ก่อน หน้า
F0000000001_0025.wav,เล่น เพลง นี้ อีก รอบ
F0000000001_0026.wav,เริ่ม เพลง นี้ ใหม่
F0000000001_0027.wav,เล่น เพลง นี้ ซ้ำ
F0000000001_0028.wav,เพลง นี้ ใคร แต่ง
F0000000001_0029.wav,นักร้อง คนนี้ ชื่อ อะไร
F0000000001_0033.wav,ดัง อีก
F0000000001_0034.wav,เพิ่ม อีก
F0000000001_0035.wav,อีก
F0000000001_0036.wav,ลด อีก
F0000000001_0037.wav,เบา เบา หน่อย
F0000000001_0038.wav,เบา อีก
F0000000001_0039.wav,เบา เสียง
F0000000001_0040.wav,เงียบๆ
F0000000001_0041.wav,หยุด
F0000000001_0042.wav,หยุด ก่อน
F0000000001_0043.wav,หยุด ชั่ว คราว
F0000000001_0049.wav,ปิด เสียง
F0000000001_0050.wav,เงียบ
F0000000001_0052.wav,เปิด เพลง ใกล้
F0000000001_0054.wav,เปิด เพลง ชะตา ชีวิต
F0000000001_0057.wav,ขอ เพลง คู่ กัน
F0000000001_0058.wav,ขอ เพลง ฝน
F0000000001_0059.wav,ขอ เพลง ไกล
F0000000001_0067.wav,เล่น เพลง ของ ศิลปิน แสตมป์
F0000000001_0074.wav,เล่น เพลง อะไร ก็ ได้ สิบ นาที
F0000000001_0075.wav,เล่น เพลง อะไร ก็ ได้ ยี่ สิบ นาที
F0000000001_0076.wav,เล่น เพลง ครึ่ง ชั่วโมง
F0000000001_0078.wav,เบา เสียง หน่อย
F0000000001_0080.wav,ลา ก่อย
F0000000001_0084.wav,ไม่ เอา เพลง นี้
F0000000001_0085.wav,ไม่ ชอบ เพลง นี้
F0000000001_0086.wav,ห้าม เล่น เพลง นี้
F0000000001_0088.wav,ข้าม เพลง นี้
F0000000001_0089.wav,ข้าม ไป
F0000000001_0090.wav,เพลง อื่น
F0000000001_0091.wav,พอ แล้ว
F0000000001_0092.wav,เลิก เล่น
F0000000001_0094.wav,ขอ เนื้อ เพลง นี้ หน่อย
F0000000001_0095.wav,เปิด เนื้อ เพลง
F0000000001_0096.wav,ดู เนื้อ เพลง หน่อย
F0000000001_0097.wav,เอา เพลง นี้ ออก ไป
F0000000001_0098.wav,ลบ เพลง นี้ ออก ไป จาก เครื่อง
M0000000002_0006.wav,เพลง นี้ ชื่อ อะไร
M0000000002_0007.wav,เพลง นี้ ยาว กี่ นาที
M0000000002_0008.wav,เพลง นี้ ใคร ร้อง
M0000000002_0009.wav,เพลง ต่อ ไป เพลง อะไร
M0000000002_0010.wav,เพลง ต่อ ไป ยาว เท่า ไหร่
M0000000002_0012.wav,หยุด เพลง
M0000000002_0013.wav,เล่น เพลง
M0000000002_0014.wav,เพลง ต่อ ไป
M0000000002_0015.wav,ข้าม
M0000000002_0016.wav,เปลี่ยน
M0000000002_0017.wav,สุ่ม เพลง
M0000000002_0019.wav,เล่น ซ้ำ
M0000000002_0021.wav,ดัง ดัง หน่อย
M0000000002_0022.wav,ลด เสียง
M0000000002_0023.wav,เล่น เพลง ที่ แล้ว
M0000000002_0024.wav,เล่น เพลง ก่อน หน้า
M0000000002_0025.wav,เล่น เพลง นี้ อีก รอบ
M0000000002_0026.wav,เริ่ม เพลง นี้ ใหม่
M0000000002_0027.wav,เล่น เพลง นี้ ซ้ำ
M0000000002_0028.wav,เพลง นี้ ใคร แต่ง
M0000000002_0029.wav,นักร้อง คนนี้ ชื่อ อะไร
M0000000002_0033.wav,ดัง อีก
M0000000002_0034.wav,เพิ่ม อีก
M0000000002_0035.wav,อีก
M0000000002_0036.wav,ลด อีก
M0000000002_0037.wav,เบา เบา หน่อย
M0000000002_0038.wav,เบา อีก
M0000000002_0039.wav,เบา เสียง
M0000000002_0040.wav,เงียบๆ
M0000000002_0041.wav,หยุด
M0000000002_0042.wav,หยุด ก่อน
M0000000002_0043.wav,หยุด ชั่ว คราว
M0000000002_0049.wav,ปิด เสียง
M0000000002_0050.wav,เงียบ
M0000000002_0052.wav,เปิด เพลง ใกล้
M0000000002_0054.wav,เปิด เพลง ชะตา ชีวิต
M0000000002_0057.wav,ขอ เพลง คู่ กัน
M0000000002_0058.wav,ขอ เพลง ฝน
M0000000002_0059.wav,ขอ เพลง ไกล
M0000000002_0067.wav,เล่น เพลง ของ ศิลปิน แสตมป์
M0000000002_0074.wav,เล่น เพลง อะไร ก็ ได้ สิบ นาที
M0000000002_0075.wav,เล่น เพลง อะไร ก็ ได้ ยี่สิบ นาที
M0000000002_0076.wav,เล่น เพลง ครึ่ง ชั่วโมง
M0000000002_0078.wav,เบา เสียง หน่อย
M0000000002_0080.wav,ลา ก่อย
M0000000002_0084.wav,ไม่ เอา เพลง นี้
M0000000002_0085.wav,ไม่ ชอบ เพลง นี้
M0000000002_0086.wav,ห้าม เล่น เพลง นี้
M0000000002_0088.wav,ข้าม เพลง นี้
M0000000002_0089.wav,ข้าม ไป
M0000000002_0090.wav,เพลง อื่น
M0000000002_0091.wav,พอ แล้ว
M0000000002_0092.wav,เลิก เล่น
M0000000002_0094.wav,ขอ เนื้อ เพลง นี้ หน่อย
M0000000002_0095.wav,เปิด เนื้อ เพลง
M0000000002_0096.wav,ดู เนื้อ เพลง หน่อย
M0000000002_0097.wav,เอา เพลง นี้ ออก ไป
M0000000002_0098.wav,ลบ เพลง นี้ ออก ไป จาก เครื่อง
M0000000003_0006.wav,เพลง นี้ ชื่อ อะไร
M0000000003_0007.wav,เพลง นี้ ยาว กี่ นาที
M0000000003_0008.wav,เพลง นี้ ใคร ร้อง
M0000000003_0009.wav,เพลง ต่อ ไป เพลง อะไร
M0000000003_0010.wav,เพลง ต่อ ไป ยาว เท่า ไหร่
M0000000003_0012.wav,หยุด เพลง
M0000000003_0013.wav,เล่น เพลง
M0000000003_0014.wav,เพลง ต่อ ไป
M0000000003_0015.wav,ข้าม
M0000000003_0016.wav,เปลี่ยน
M0000000003_0017.wav,สุ่ม เพลง
M0000000003_0019.wav,เล่น ซ้ำ
M0000000003_0021.wav,ดัง ดัง หน่อย
M0000000003_0022.wav,ลด เสียง
M0000000003_0023.wav,เล่น เพลง ที่ แล้ว
M0000000003_0024.wav,เล่น เพลง ก่อน หน้า
M0000000003_0025.wav,เล่น เพลง นี้ อีก รอบ
M0000000003_0026.wav,เริ่ม เพลง นี้ ใหม่
M0000000003_0027.wav,เล่น เพลง นี้ ซ้ำ
M0000000003_0028.wav,เพลง นี้ ใคร แต่ง
M0000000003_0029.wav,นักร้อง คนนี้ ชื่อ อะไร
M0000000003_0033.wav,ดัง อีก
M0000000003_0034.wav,เพิ่ม อีก
M0000000003_0035.wav,อีก
