audio,text
F0000000000_0000.wav,โกวาจี
F0000000000_0001.wav,โกวาจี เล่น เพลง เชบออฟยู
F0000000000_0002.wav,โกวาจี เล่น เพลง ชูก้า
F0000000000_0003.wav,โกวาจี เล่น เพลง สเตย์
F0000000000_0004.wav,โกวาจี เล่น เพลง คู่ ชีวิต
F0000000000_0005.wav,โกวาจี เล่น เพลง อ้าว
F0000000000_0011.wav,เพลง ต่อ ไป อยู่ ใน อัลบั้ม อะไร
F0000000000_0018.wav,แรนดอม เพลง
F0000000000_0020.wav,โกวาจี เพิ่ม เสียง
F0000000000_0030.wav,เพิ่ม ใน เพลลิสต์ เพลง โปรด
F0000000000_0031.wav,เพิ่ม ใน เพลลิสต์ เพลง ก่อนนอน
F0000000000_0032.wav,เล่น เพลง จาก เพลลิสต์ เพลง ก่อน นอน
F0000000000_0044.wav,พอส
F0000000000_0045.wav,สต็อป
F0000000000_0046.wav,ปิด โปรแกรม
F0000000000_0047.wav,โกวาจี บ๊ายบาย
F0000000000_0048.wav,ชัท ดาว
F0000000000_0051.wav,เปิด เพลง ไอแฮทยูไอเลิฟยู
F0000000000_0053.wav,เปิด เพลง เซเยส
F0000000000_0055.wav,เปิด เพลง เอฟเวอรี่ไทม
F0000000000_0056.wav,ขอ เพลง แคนท์เทคมายอายส์ออฟออฟยู
F0000000000_0060.wav,ขอ เพลง สเตย์วิฟมี
F0000000000_0061.wav,เล่น เพลง จาก เพลลิสต์ เพลง โปรด
F0000000000_0062.wav,เล่น เพลง จาก เพลลิสต์ เพลง อก หัก
F0000000000_0063.wav,เล่น เพลง จาก เพลลิสต์ เพลง ลูก ทุ่ง
F0000000000_0064.wav,เล่น เพลง ของ มารูนไฟฟ์
F0000000000_0065.wav,เล่น เพลง ของ ซูเปอร์จูเนียร์
F0000000000_0066.wav,เล่น เพลง ของ ศิลปิน ริฮันน่า
F0000000000_0068.wav,เล่น เพลง ของ ศิลปิน โจอี้บอย
F0000000000_0069.wav,เล่น เพลง จาก อัลบั้ม เดอะเรด
F0000000000_0070.wav,เล่น เพลง จาก อัลบั้ม เดอะเววเวท
F0000000000_0071.wav,โกวาจี แรนด้อม เพลง
F0000000000_0072.wav,โกวาจี เล่น ห้า เพลง
F0000000000_0073.wav,โกวาจี เล่น สิบ เพลง
F0000000000_0077.wav,โกวาจี ลา ก่อน
F0000000000_0079.wav,ชัฟเฟิล
F0000000000_0081.wav,กู๊ดไนท์
F0000000000_0082.wav,ลบ เพลง นี้ ออก จาก เพลย์ลิส
F0000000000_0083.wav,เอา ออก จาก เพลย์ลิส
F0000000000_0087.wav,ห้าม เล่น เพลง ของ เทเลอร์สวิฟ
F0000000000_0093.wav,โกวาจี เรา จบ กัน แค่ นี้
F0000000000_0099.wav,โกวาจี ขอบคุณ
F0000000001_0000.wav,โกวาจี
F0000000001_0001.wav,โกวาจี เล่น เพลง เชบออฟยู
F0000000001_0002.wav,โกวาจี เล่น เพลง ชูก้า
F0000000001_0003.wav,โกวาจี เล่น เพลง สเตย์
F0000000001_0004.wav,โกวาจี เล่น เพลง คู่ ชีวิต
F0000000001_0005.wav,โกวาจี เล่น เพลง อ้าว
F0000000001_0011.wav,เพลง ต่อ ไป อยู่ ใน อัลบั้ม อะไร
F0000000001_0018.wav,แรนดอม เพลง
F0000000001_0020.wav,โกวาจี เพิ่ม เสียง
F0000000001_0030.wav,เพิ่ม ใน เพลลิสต์ เพลง โปรด
