audio,text
f3_21-01-08_12-00_MCOT_01_1_report_to10_002.wav,บรรยากาศ รับ สมัคร สว. ทั่ว ประเทศ วัน แรก ส่วน ใหญ่ ไม่ คึกคัก
f0_21-01-08_12-00_MCOT_01_1_report_to10_003_loc.wav,นายก รัฐมนตรี ทวง ฝ่าย ความ มั่นคง ลง พื้นที่ จังหวัด ยะลา เกาะ ติด ปัญหา จังหวัด ชาย แดน ภาค ใต้
f0_21-01-08_12-00_MCOT_01_1_report_to10_004.wav,กำชับ กองทัพ ปรับปรุง งาน ด้าน ข่าว
f0_21-01-08_12-00_MCOT_01_1_report_to10_006.wav,กรม ราชฑัณท์ ออก นโยบาย ลด โทษ ให้ ผู้ต้องหา ยา เสพย์ติด ที่ ให้ ข้อมูล จับกุม เครือ ข่าย ยา เสพย์ติด ราย ใหญ่
f0_21-01-08_12-00_MCOT_01_1_report_to10_007.wav,ตลาด หุ้น ใน ประเทศ เอเชีย กลับ ตัว ดิ่ง ลง กัน ถ้วน หน้า เหตุ นัก ลง ทุน กังวล ปัญหา เศรษฐกิจ สหรัฐ
f0_21-01-08_12-00_MCOT_01_1_report_to9_Gavarin_009.wav,สวัสดี ค่ะ
f0_21-01-08_12-00_MCOT_01_1_report_to9_011.wav,วัน นี้ วัน จันทร์ ที่ ยี่ สิบ เอ็ด มกราคม สอง พัน ห้า ร้อย ห้า สิบ เอ็ด ครัิบ
f0_21-01-08_12-00_MCOT_01_1_report_Gavarin_012.wav,ค่ะ ประชาชน จาก ทั่ว สารทิศ ยัง คง หลั่ง ไหล เข้า ถวาย สักการะ พระศพ
f0_21-01-08_12-00_MCOT_01_1_report_Gavarin_013_per.wav,สมเด็จ พระเจ้าพี่นางเธอเจ้าฟ้ากัลยาณิวัฒนากรมหลวงนราธิวาสราชนครินทร์ อย่าง ไม่ ขาด สาย ค่ะ
f4_21-01-08_12-00_MCOT_01_1_report_Gavarin_014.wav,วัน นี้ เจ้าหน้าที่ สำนัก พระราชวัง เปิด ให้ ประชาชน เข้า ถวาย สักการะ พระศพ
f0_21-01-08_12-00_MCOT_01_1_report_Gavarin_015_per.wav,สมเด็จ พระเจ้าพี่นางเธอเจ้าฟ้ากัลยาณิวัฒนากรมหลวงนราธิวาสราชนครินทร์
f0_21-01-08_12-00_MCOT_01_1_report_Gavarin_016_loc.wav,บน พระที่นั่ง ดุสิต มหา ปราสาท ใน พระ บรมหา ราชวัง ตั้ง แต่ เวลา เจ็ด นาฬิกา ห้า สิบ นาที
f0_21-01-08_12-00_MCOT_01_1_report_Gavarin_017.wav,ซึ่ง มี ประชาชน จาก ทั่ว ทุก ภาค เดิน ทาง มา เฝ้า รอ เข้า ถวาย สักการะ พระศพ อย่าง เนือง แน่น ตั้ง แต่ เช้า
f0_21-01-08_12-00_MCOT_01_1_report_Gavarin_018.wav,และ ใน วัน นี้ มี ประกาศ จาก สำนัก พระราชวัง ว่า จาก นี้ ไป ใน การ บำเพ็ญ พระราช กุศล อุทิศ ถวาย พระศพ
f0_21-01-08_12-00_MCOT_01_1_report_Gavarin_019_per.wav,สมเด็จ พระเจ้าพี่นางเธอเจ้าฟ้ากัลยาณิวัฒนากรมหลวงนราธิวาสราชนครินทร์ ประจำ สัปดาห์ ใน ทุก วัน พุธ
f0_21-01-08_12-00_MCOT_01_1_report_Gavarin_020.wav,สำนัก พระราชวัง จะ เปิด ให้ ประชาชน เข้า ถวาย สักการะ พระศพ ได้ ตั้ง แต่ เวลา สิบ สี่ นาฬิกา ถึง สิบ หก นาฬิกา
f0_21-01-08_12-00_MCOT_01_1_report_Gavarin_021.wav,ส่วน วัน อื่น อื่น จะ เปิด ตั้ง แต่ ช่วง เช้า เช่น เดิม สำหรับ ความ คืบ หน้า การ เตรียม พิธี พระศพ
